Game ,1798500, mean_rew of 4314 finished g. ,0.0, of random ,0.0, corr_moves[max:17] ,15.82, mean_rew ,-13.7,   1:22:04.955182,playing t=63.83, lr=0.01, batch=70061
Game ,1869600, mean_rew of 4289 finished g. ,0.0, of random ,0.0, corr_moves[max:17] ,15.77, mean_rew ,-14.2,   1:26:41.728360,playing t=64.37, lr=0.01, batch=70542
Game ,1941100, mean_rew of 4298 finished g. ,0.0, of random ,0.0, corr_moves[max:17] ,15.78, mean_rew ,-14.0,   1:31:20.228507,playing t=64.09, lr=0.01, batch=70870
Game ,2013000, mean_rew of 4341 finished g. ,0.0, of random ,0.0, corr_moves[max:17] ,15.83, mean_rew ,-13.2,   1:35:59.084833,playing t=64.55, lr=0.01, batch=71263
Game ,2085300, mean_rew of 4357 finished g. ,0.0, of random ,0.0, corr_moves[max:17] ,15.84, mean_rew ,-12.9,   1:40:39.039296,playing t=66.2, lr=0.01, batch=71835
Game ,2158000, mean_rew of 4346 finished g. ,0.0, of random ,0.0, corr_moves[max:17] ,15.9, mean_rew ,-13.1,   1:45:21.788091,playing t=65.19, lr=0.01, batch=72145
Game ,2231100, mean_rew of 4385 finished g. ,0.0, of random ,0.0, corr_moves[max:17] ,15.92, mean_rew ,-12.3,   1:50:03.990406,playing t=65.61, lr=0.01, batch=72483
Game ,2304600, mean_rew of 4227 finished g. ,0.0, of random ,0.0, corr_moves[max:17] ,15.71, mean_rew ,-15.5,   1:54:43.086715,playing t=65.8, lr=0.01, batch=72646
Game ,2378500, mean_rew of 4234 finished g. ,0.0, of random ,0.0, corr_moves[max:17] ,15.71, mean_rew ,-15.3,   1:59:27.959127,playing t=66.88, lr=0.01, batch=73287
Game ,2452800, mean_rew of 4239 finished g. ,0.0, of random ,0.0, corr_moves[max:17] ,15.66, mean_rew ,-15.2,   2:04:13.900341,playing t=67.72, lr=0.01, batch=73649
